name;Company Website;Is a new company?
Bluelight;https://www.linkedin.com/company/bluelightco/people/;Yes
Launch Potato;https://www.linkedin.com/company/launchpotato/people/;Yes
ALLSTARSIT;https://www.linkedin.com/company/allstarsit/people/;Yes
Lumenalta;https://www.linkedin.com/company/lumenalta/people/;Yes
Avyre;https://www.linkedin.com/company/avyre/people/;Yes
Sparq;https://www.linkedin.com/company/teamsparq/people/;Yes
Plannatech;https://www.linkedin.com/company/plannatech/people/;Yes
Coforge;https://www.linkedin.com/company/coforge-tech/people/;Yes
Blackbaud;https://www.linkedin.com/company/blackbaud/people/;Yes
OfficeSpace Software;https://www.linkedin.com/company/officespace-software/people/;Yes
Backcountry;https://www.linkedin.com/company/backcountry/people/;Yes
Proxify;https://www.linkedin.com/company/proxify-se/people/;Yes
Excel Nearshore;https://www.linkedin.com/company/excelnearshore/;Yes
Wisevu;https://www.linkedin.com/company/wisevu/;Yes
Imprivata;https://www.linkedin.com/company/imprivata/people/;Yes
Precision AQ;https://www.linkedin.com/company/precision-aq/people/;Yes
Cargill;https://www.linkedin.com/company/cargill/people/;Yes
Bryant Park Consulting;https://www.linkedin.com/company/bryant-park-consulting/people/;Yes
Bring IT;https://www.linkedin.com/company/bringitps/people/;Yes
LeafLink;https://www.linkedin.com/company/leaflink/people/;Yes
HR Acuity;www.linkedin.com/company/hr-acuity/people/;Yes
WestRock Company;https://www.linkedin.com/company/westrockcompany/people/;Yes
One Inc;https://www.linkedin.com/company/one-inc/people/;Yes
Etsy;https://www.linkedin.com/company/etsy/people/;Yes
Linqia;https://www.linkedin.com/company/linqia/people/;Yes
Synergy Business Consulting, Inc.;https://www.linkedin.com/company/synergy-business-consulting-inc./people/;Yes
Resend;https://www.linkedin.com/company/resend/people/;Yes
Factored;https://www.linkedin.com/company/factoredai/people/;Yes
Abstra;https://www.linkedin.com/company/abstratech/people/;Yes
Confiz;https://www.linkedin.com/company/confiz/people/;Yes
Shrine Development;https://www.linkedin.com/company/shrinedev/people/;Yes
Platter;https://www.linkedin.com/company/getplatter/people/;Yes
Talkpush;https://www.linkedin.com/company/talkpush/people/;Yes
PLAYSTUDIOS;https://www.linkedin.com/company/playstudios/people/;Yes
Aimpoint Digital;https://www.linkedin.com/company/aimpoint-digital/people/;Yes
Upstart 13;https://www.linkedin.com/company/upstart13/people/;Yes
Propelus;https://www.linkedin.com/company/propelus-solutions/people/;Yes
OpenText;https://www.linkedin.com/company/opentext/people/;Yes
Fuse;https://www.linkedin.com/company/fuse-uk/people/;Yes
Acquia;https://www.linkedin.com/company/acquia/people/;Yes
LSEG;https://www.linkedin.com/company/london-stock-exchange-group/people/;Yes
Vanguard X;https://www.linkedin.com/company/vanguard-x/people/;Yes
Revolut;https://www.linkedin.com/company/revolut/people/;Yes
Zeta Global;https://www.linkedin.com/company/zetaglobal/people/;Yes
Omnicom;https://www.linkedin.com/company/omnicom/people/;Yes
Perform;https://www.linkedin.com/company/total-performance-consulting/people/;Yes
Andela;https://www.linkedin.com/company/andela/people/;Yes
Superside;https://www.linkedin.com/company/superside/people/;Yes
Automattic;https://www.linkedin.com/company/automattic/people/;Yes
Doist;https://www.linkedin.com/company/doist/people/;Yes
Brex;https://www.linkedin.com/company/brexhq/people/;Yes
SpotOn;https://www.linkedin.com/company/spoton/people/;Yes
Webflow;https://www.linkedin.com/company/webflow-inc-/people/;Yes
Jeeves;https://www.linkedin.com/company/tryjeeves/people/;Yes
Scalable Path;https://www.linkedin.com/company/scalable-path/people/;Yes
Coinbase;https://www.linkedin.com/company/coinbase/people/;Yes
Tether.io;https://www.linkedin.com/company/tether/people/;Yes
SmarterSelect;https://www.linkedin.com/company/smarterselect/people/;Yes
Chainalysis;https://www.linkedin.com/company/chainalysis/people/;Yes
TradeStation;https://www.linkedin.com/company/tradestation/people/;Yes
SurveyMonkey;https://www.linkedin.com/company/surveymonkey/people/;Yes
Sapiens Development;https://www.linkedin.com/company/sapiens-software/people/;Yes
FPT Latin America;https://www.linkedin.com/company/fpt-software-latam/people/;Yes
King Tide;https://www.linkedin.com/company/king-tide/people/;Yes
readymind;https://www.linkedin.com/company/readymind-it/people/;Yes
Raona;https://www.linkedin.com/company/raona/people/;Yes
SolutionStream;https://www.linkedin.com/company/solstr/people/;Yes
Kake;https://www.linkedin.com/company/kake/people/;Yes
Smartcat;https://www.linkedin.com/company/smartcatai/people/;Yes
GreenSlate;https://www.linkedin.com/company/thisisgslate/;Yes
Armis;https://www.linkedin.com/company/armis-security/people/;Yes
Netskope;https://www.linkedin.com/company/netskope/people/;Yes
Sumo Logic;https://www.linkedin.com/company/sumo-logic/people/;Yes
truData Solutions;https://www.linkedin.com/company/trudata/people/;Yes
Athenaworks;https://www.linkedin.com/company/athenaworks/people/;Yes
Envision Horizons;https://www.linkedin.com/company/envision-horizons/people/;Yes
Uptalent.io;https://www.linkedin.com/company/uptalent-io/people/;Yes
Adoreal;https://www.linkedin.com/company/adoreal-official/people/;Yes
Sparkrock;https://www.linkedin.com/company/sparkrock/people/;Yes
TreviPay;https://www.linkedin.com/company/trevipay/people/;Yes
Parallelz;https://www.linkedin.com/company/parallelz/people/;Yes
Salvo Software;https://www.linkedin.com/company/salvosoftware/people/;Yes
LunaJoy Health;https://www.linkedin.com/company/lunajoyhealth/people/;Yes
UA Brands (Uniform Advantage Brands);https://www.linkedin.com/company/uniform-advantage/people/;Yes
Delbridge Solutions;https://www.linkedin.com/company/delbridge-solutions/people/;Yes
